bare	accented	translations_en	translations_de	aspect	partner	imperative_sg	imperative_pl	past_m	past_f	past_n	past_pl	presfut_sg1	presfut_sg2	presfut_sg3	presfut_pl1	presfut_pl2	presfut_pl3
решать	реша'ть	decide, determine, resolve, be determined, solve	lösen; entscheiden, beschließen, einen Entschluß fassen, eine Entscheidung treffen	imperfective	решить	реша'й	реша'йте	реша'л	реша'ла	реша'ло	реша'ли	реша'ю	реша'ешь	реша'ет	реша'ем	реша'ете	реша'ют
вырасти	вы'расти	grow, grow up, increase	wachsen, groß werden, erwachsen sein, aufwachsen, wachsen steigen; plötzlich erscheinen	perfective	расти,вырастать	вы'расти	вы'растите	вы'рос	вы'росла	вы'росло	вы'росли	вы'расту	вы'растешь	вы'растет	вы'растем	вы'растете	вы'растут
познакомиться	познако'миться	meet, make the acquaintance, get to know	kennenlernen	perfective	знакомиться	познако'мься	познако'мьтесь	познако'мился	познако'милась	познако'милось	познако'мились	познако'млюсь	познако'мишься	познако'мится	познако'мимся	познако'митесь	познако'мятся
занять	заня'ть	borrow; occupy; take (time)	einnehmen, belegen, beanspruchen, besetzen, innehaben (Amt bekleiden etc.); leihen, borgen	perfective	занимать	займи'	займи'те	за'нял	заняла'	за'няло	за'няли	займу'	займёшь	займёт	займём	займёте	займу'т
гулять	гуля'ть	walk	spazieren, spazieren gehen; frei haben; aufstehen, Aufstand haben (von Kranken); blaumachen; sich vergnügen, zechen, einen └ auf die Lampe gießen / hinter die Binde kippen┘; es (mit jemandem) treiben, es (mit jemandem) machen, (mit jemandem) auf die Bude gehen, bumsen	imperfective	погулять	гуля'й	гуля'йте	гуля'л	гуля'ла	гуля'ло	гуля'ли	гуля'ю	гуля'ешь	гуля'ет	гуля'ем	гуля'ете	гуля'ют
посадить	посади'ть	plant, land airplne, dash, hurtle, send to prison	pflanzen, einpflanzen; setzen, legen, festsetzen; landen	perfective	сажать,садить	посади'	посади'те	посади'л	посади'ла	посади'ло	посади'ли	посажу'	поса'дишь	поса'дит	поса'дим	поса'дите	поса'дят
стремиться	стреми'ться	Aspire; speed, rush, seek, aim, aspire, strive, long, crave	streben, anstreben, bestrebt sein	imperfective	устремиться	стреми'сь	стреми'тесь	стреми'лся	стреми'лась	стреми'лось	стреми'лись	стремлю'сь	стреми'шься	стреми'тся	стреми'мся	стреми'тесь	стремя'тся
составить	соста'вить	amount to; compose, produce, create; keep	zusammenstellen, aufstellen, bilden; ausmachen, betragen, ergeben; verfassen, abfassen	perfective	составлять	соста'вь	соста'вьте	соста'вил	соста'вила	соста'вило	соста'вили	соста'влю	соста'вишь	соста'вит	соста'вим	соста'вите	соста'вят
задуматься	заду'маться	consider, ponder; wonder; to be lost in thought	nachdenklich werden, sich in Gedanken vertiefen, nachdenken, sich Gedanken machen, ins Grübeln geraten	perfective	задумываться	заду'майся	заду'майтесь	заду'мался	заду'малась	заду'малось	заду'мались	заду'маюсь	заду'маешься	заду'мается	заду'маемся	заду'маетесь	заду'маются
позвать	позва'ть	call, call upon	rufen, einladen, einladen	perfective	звать	позови'	позови'те	позва'л	позва'ла	позва'ло	позва'ли	позову'	позовёшь	позовёт	позовём	позовёте	позову'т
выполнить	вы'полнить	implement, fulfil, carry out, execute, accomplish, carry into effect, realize	ausführen, erledigen, vollführen, vollziehen, verwirklichen; erfüllen, einlösen	perfective	выполнять	вы'полни	вы'полните	вы'полнил	вы'полнила	вы'полнило	вы'полнили	вы'полню	вы'полнишь	вы'полнит	вы'полним	вы'полните	вы'полнят
двинуться	дви'нуться	move, advance	sich in Bewegung setzen, in Bewegung kommen; sich bewegen	perfective	двигаться	дви'нься	дви'ньтесь	дви'нулся	дви'нулась	дви'нулось	дви'нулись	дви'нусь	дви'нешься	дви'нется	дви'немся	дви'нетесь	дви'нутся
